Apatite,chi2,C0,C0_95%,C1,C1_95%,C2,C2_95%,C3,C3_95%,alpha,beta
RN,3.18,-31.517,(04809),0.0012879,(01953),-34.001,(07263),0.0,(0.0002967),-0.49032,-7.8453
DR,3.23,-23.308,(03808),0.00088138,(14166),-24.752,(06643),0.0004468,(23714),-0.41011,-8.267
B3,1.16,-10.789,(01082),0.00046806,(04347),-9.3701,(23161),0.00098792,(08967),-0.16846,-18.246
RN,3.31,-1394.1,(13562),30.717,(29283),-3286.6,(00132),-79.069,(05875),-0.41718,1.7251
DR,3.23,-106.18,(06145),2.1965,(12263),-155.9,(01311),-9.7864,(05925),-0.48078,-6.3626
B3,1.27,-18.926,(03303),0.4229,(07361),-27.239,(13509),-7.1547,(56283),-0.2165,-14.923
RN,4.82,-20.87,(03191),0.00077447,(13506),-26.133,(06801),0.00033359,(27898),-0.3143,-3.1361
DR,3.99,-24.64,(03567),0.00091263,(13335),-26.282,(05933),0.00036602,(21873),-0.36289,-9.184
B3,1.46,-11.1,(00798),0.00045168,(02862),-9.6524,(16329),0.00098362,(05497),-0.17083,-21.024
HS,5.41,-15.061,(01661),0.00061584,(06814),-13.255,(03104),0.00089793,(11956),-0.36938,-15.272
RN,5.11,-61.311,(24309),1.292,(05296),-100.53,(01330),-8.7225,(57857),-0.35878,-2.9633
DR,4.05,-105.48,(04950),2.2022,(10386),-153.47,(01300),-9.7928,(59499),-0.41712,-7.8961
B3,1.57,-19.418,(02284),0.42147,(04704),-26.87,(13355),-7.1406,(56160),-0.21704,-18.736
HS,5.48,-32.672,(07333),0.68761,(15185),-40.965,(13606),-7.3822,(56096),-0.45446,-11.843
