"ap1","ap2","num","χ2","rmr0","± (95%)","κ","± (95%)","num","χ2","rmr0","± (95%)","κ","± (95%)"
"B2","AY",11,3.54,0.8198,"+0.0158 / –0.0158",0.1766,"+0.0336 / –0.0336",1436,2.82,0.8237,"+0.0101 / –0.0101",0.1753,"+0.0208 / –0.0208"
"B2","B3",11,0.86,0.6977,"+0.0890 / –0.1270",0.3504,"+0.1971 / –0.1465",1436,2.82,0.7106,"+0.0514 / –0.0514",0.3329,"+0.0768 / –0.0768"
"B2","DR",11,2.44,0.8204,"+0.0142 / –0.0142",0.1675,"+0.0303 / –0.0303",1436,2.82,0.8271,"+0.0081 / –0.0075",0.1636,"+0.0166 / –0.0166"
"B2","FC",11,0.41,0.7365,"+0.0673 / –0.0673",0.2594,"+0.0971 / –0.0928",1436,2.82,0.7547,"+0.0425 / –0.0425",0.2369,"+0.0627 / –0.0627"
"B2","HS",11,1.13,0.8822,"+0.0086 / –0.0086",0.1267,"+0.0247 / –0.0247",1436,2.82,0.8559,"+0.0041 / –0.0041",0.2206,"+0.0088 / –0.0131"
"B2","KP",11,3.77,0.7305,"+0.0745 / –0.0833",0.2479,"+0.1150 / –0.1068",1436,2.82,0.7492,"+0.0493 / –0.0493",0.2265,"+0.0646 / –0.0646"
"B2","OL",11,2.42,0.8386,"+0.0115 / –0.0115",0.1873,"+0.0312 / –0.0312",1436,2.82,0.8364,"+0.0063 / –0.0054",0.1958,"+0.0183 / –0.0183"
"B2","PC",11,1.68,0.3534,"+0.3534 / –0.3534",0.6348,"+0.3652 / –0.3652",1436,2.82,0.1678,"+0.4361 / –0.1678",0.8331,"+0.1669 / –0.5158"
"B2","PQ",11,3.17,0.832,"+0.0079 / –0.0079",0.1919,"+0.0217 / –0.0217",1436,2.82,0.8273,"+0.0065 / –0.0065",0.1991,"+0.0134 / –0.0134"
"B2","RN",11,0.37,0.8787,"+0.0103 / –0.0103",0.1064,"+0.0212 / –0.0212",1436,2.82,0.8464,"+0.0052 / –0.0052",0.1787,"+0.0105 / –0.0134"
"B2","SC",11,3.16,0.8425,"+0.0111 / –0.0111",0.1748,"+0.0315 / –0.0315",1436,2.82,0.8401,"+0.0064 / –0.0064",0.184,"+0.0157 / –0.0163"
"B2","TI",11,0.85,0.2632,"+0.3378 / –0.1978",0.8142,"+0.1858 / –0.4161",1436,2.82,0.1398,"+0.4606 / –0.0254",0.9665,"+0.0335 / –0.5982"
"B2","UN",11,2.56,0.8332,"+0.0097 / –0.0097",0.1991,"+0.0266 / –0.0266",1436,2.82,0.8343,"+0.0067 / –0.0067",0.1952,"+0.0188 / –0.0188"
"B2","WK",11,3.97,0.8358,"+0.0118 / –0.0118",0.1834,"+0.0301 / –0.0301",1436,2.82,0.8369,"+0.0058 / –0.0058",0.1806,"+0.0161 / –0.0161"
