Apatite,TF100,TF30,TF10,TC1,TC10,TC100,TA1,TA10,TA100,lmlow-T,lmFC,
HS,105.8,112.2,118.3,100.4,113.5,127.6,121.5,134.6,148.6,,,
RN,114.1,120.5,126.6,112.7,126.3,140.9,129.8,143.1,157.2,15.38,,
SC,117.3,123.8,129.9,115.2,128.8,143.4,133.1,146.4,160.6,15.18,,
OL,118.5,125,131.2,115,128.5,143.2,134.4,147.7,161.9,15.49,,
WK,119.2,125.8,131.9,117.5,131.2,145.9,135.1,148.5,162.7,15.13,,
UN,119.7,126.2,132.4,116.2,129.8,144.4,135.6,148.9,163.2,15.31,,
PQ,123.2,129.8,135.9,119,132.7,147.4,139.1,152.5,166.8,14.92,,
DR,125.6,132.2,138.4,125.9,139.8,154.8,141.5,155,169.3,,,
AY,126.7,133.3,139.5,125.4,139.3,154.2,142.7,156.2,170.5,,,
FC,155.4,162.3,168.7,144.5,158.7,174,171.8,185.7,200.6,,,
KP,159,165.9,172.4,148.9,163.3,178.7,175.4,189.4,204.3,,15.67,
B3,163.2,170.1,176.6,142.7,156.8,172,179.6,193.7,208.6,,,
TI,233.1,240.5,247.4,177.8,192.5,208.2,250.3,265.1,280.9,,,
PC,245.4,252.9,259.8,189.1,203.9,219.9,262.6,277.6,293.4,,,
B2,255.4,262.8,269.8,236.2,251.8,268.3,272.6,287.7,303.6,1.4-1.9,-,-
