,,"tF100","tF30","tF10","tC1","tC10","tC100","tA1","tA10","tA100","lVrol"
"Data set","Fit","°C","°C","°C","°C","°C","°C","°C","°C","°C","μm"
"dur-lmall","FA",127.4,134.1,140.4,128.9,142.8,157.6,143.6,157.3,171.9,
"dur-lmall","FC",92.7,101.8,110.3,98,116.2,135.3,112.3,130.4,149.4,
"dur-lcmodall","FA",131.8,138.7,145.1,125.6,139.5,154.5,148.2,162.2,177.1,
"dur-lcmodall","FC",96.2,105.4,114,94.6,112.8,132,116,134.5,153.8,
"unk-lmall","FA",117.2,123.5,129.5,118.9,132.4,147,132.7,145.6,159.3,0.97
"unk-lmall","FC",86.3,94.7,102.6,90.1,107.4,125.8,105,121.9,139.5,0.92
"unk-lmncf","FA",113.1,119.6,125.8,115.1,128.7,143.4,129,142.3,156.6,0.966
"unk-lmncf","FC",82,91,99.3,85.7,103.5,122.4,101.4,119.3,137.9,0.932
"unk-lcmodall","FA",116.2,122.7,128.8,114.9,128.5,143.1,132.1,145.4,159.6,0.98
"unk-lcmodall","FC",83.5,92.2,100.4,85.7,103.3,121.9,102.7,120.2,138.5,0.956
"unk-lcmodncf","FA",116.1,122.6,128.7,113.9,127.5,142,132,145.3,159.6,0.977
"unk-lcmodncf","FC",85.4,94.3,102.6,84.7,102.3,121,104.8,122.6,141.3,0.953
