"Data set","Fit","tF100","tF30","tF10","tC1","tC10","tC100","tA1","tA10","tA100","lVrol"
"dur-lmall","FA",135.9,142.6,148.9,135,148.9,163.7,152.1,165.7,180.2,
"dur-lmall","FC",104.8,113.7,122,107.2,125.2,144.1,124.2,142,160.5,
"dur-lcmodall","FA",139.1,146,152.5,128.3,142.3,157.4,155.5,169.6,184.7,
"dur-lcmodall","FC",105.8,115.1,123.7,99.2,117.5,136.7,125.7,144.1,163.5,
"dur-lcmodall-c1","FA",137.7,144.6,151.1,128.1,142.1,157.1,154.2,168.2,183.1,
"dur-lcmodall-c1","FC",104.8,114,122.6,99.3,117.5,136.7,124.6,142.9,162.2,
"unk-lmall+","FA",107.2,113.5,119.6,111.8,125.2,139.6,122.8,135.9,149.9,0.959
"unk-lmall+","FC",77.2,85.8,93.8,84.8,102.2,120.5,96.1,113.3,131.2,0.938
"unk-lmall","FA",108.4,114.7,120.7,113.6,126.8,140.9,124,136.9,150.7,0.952
"unk-lmall","FC",79,87.5,95.4,87.3,104.4,122.4,97.8,114.8,132.5,0.933
"unk-lmncf","FA",107.4,113.7,119.6,115.1,128.5,142.8,122.9,135.7,149.4,0.973
"unk-lmncf","FC",79.5,87.9,95.7,89.5,106.7,124.8,98.1,114.8,132.2,0.947
"unk-lcmodall+","FA",116.8,123.5,129.7,110.9,124.6,139.3,132.9,146.6,161.2,0.978
"unk-lcmodall+","FC",84.5,93.5,101.9,82.5,100.2,119.1,104,122,140.8,0.957
"unk-lcmodall","FA",116.5,123.1,129.3,112.6,126.2,140.7,132.5,146,160.3,0.976
"unk-lcmodall","FC",85.1,93.9,102.2,85.1,102.6,121.1,104.4,122.1,140.5,0.957
"unk-lcmodncf","FA",115.6,122,128,116.8,130.2,144.6,131.3,144.3,158.2,0.984
"unk-lcmodncf","FC",87.6,96.1,104,91.3,108.5,126.7,106.5,123.4,141.1,0.966
"unk-lcmodall-c1","FA",115.6,122.2,128.4,112.3,125.8,140.3,131.6,145,159.4,0.977
"unk-lcmodall-c1","FC",84.3,93.1,101.4,84.8,102.2,120.7,103.6,121.2,139.6,0.957
