Apatite,rmr0,κ,tF100,tF30,tF10,tC1,tC10,tC100,tA1,tA10,tA100,lVrol,lFC
AY,0.78986,0.23545,97.2,106.2,114.5,95.2,113.0,132.0,116.6,134.5,153.2,,
B2,0.00000,0.97933,174.5,184.3,193.4,141.3,160.3,180.4,194.9,214.3,234.6,,
B3,0.55704,0.55442,130.2,139.5,148.2,111.3,129.4,148.6,150.0,168.6,188.0,,
DR+DUR,0.79757,0.22127,95.4,104.3,112.7,94.6,112.4,131.4,114.7,132.6,151.2,,
FC+FCT,0.75673,0.21537,109.8,118.9,127.4,109.1,127.5,147.0,129.3,147.5,166.5,,0.951
HS,0.85662,0.20793,71.8,80.5,88.5,73.1,89.9,108.0,90.8,108.1,126.2,,
KP,0.56062,0.46644,137.5,146.9,155.7,120.2,138.7,158.3,157.5,176.2,195.7,,
OL,0.81743,0.24156,86.5,95.4,103.6,84.6,101.8,120.4,105.8,123.4,141.9,0.927,
PC,0.03214,0.97016,171.5,181.3,190.4,139.1,158.0,178.1,191.9,211.3,231.5,,
PQ,0.79259,0.27000,93.8,102.7,111.0,89.5,106.9,125.6,113.1,130.9,149.5,0.930,
RN,0.82999,0.21741,83.0,91.8,100.0,83.1,100.3,118.8,102.2,119.7,138.1,0.928,
SC,0.82307,0.22692,85.3,94.1,102.3,84.4,101.8,120.3,104.5,122.1,140.5,0.929,
TI,0.14198,0.94299,160.6,170.3,179.3,130.7,149.4,169.2,180.9,200.1,220.0,,
UN,0.80846,0.25788,88.9,97.7,106.0,85.6,102.9,121.4,108.1,125.8,144.3,0.926,
WK,0.81454,0.23305,88.2,97.1,105.4,86.8,104.2,122.8,107.5,125.2,143.6,0.931,
BAM,0.66400,0.41256,119.4,128.6,137.2,106.0,124.0,143.1,139.1,157.4,176.6,,
DRV,0.81010,0.29442,85.6,94.4,102.7,80.4,97.3,115.5,104.8,122.4,140.8,,
FAR,0.84633,0.20298,76.8,85.5,93.7,78.3,95.4,113.7,95.9,113.3,131.5,0.925,
FUL,0.77248,0.22210,104.1,113.2,121.6,103.0,121.1,140.4,123.6,141.6,160.5,,
GIL,0.82258,0.25610,83.5,92.3,100.5,80.7,97.8,116.1,102.7,120.3,138.6,,
GUN,0.66198,0.31065,129.1,138.4,147.1,119.9,138.5,158.3,149.0,167.5,186.9,,
LIN,0.68157,0.31153,123.9,133.2,141.9,115.1,133.5,153.1,143.7,162.2,181.4,,
MIN,0.79950,0.23742,93.6,102.5,110.9,91.6,109.2,128.0,112.9,130.7,149.3,,
UMB,0.79790,0.21376,95.7,104.7,113.0,95.6,113.5,132.5,115.1,133.0,151.6,,
UNK,0.83220,0.23596,80.9,89.7,97.9,79.7,96.7,115.0,100.1,117.6,135.9,0.921,
WIL,0.80641,0.28060,88.0,96.8,105.1,83.4,100.5,118.9,107.2,124.9,143.4,0.921,
