Apatite,rmr0,κ,tF100,tF30,tF10,tC1,tC10,tC100,tA1,tA10,tA100,lVrol,lFC
AY,0.78001,0.25241,129.8,136.4,142.7,125.7,139.5,154.4,145.9,159.4,173.8,,
B2,0.00000,0.97241,197.7,205.0,211.8,168.1,182.8,198.5,214.7,229.4,244.9,,
B3,0.30517,0.93144,167.3,174.3,180.9,142.5,156.6,171.7,183.9,198.1,213.2,,
DR+DUR,0.78253,0.24888,129.2,135.9,142.1,125.4,139.2,154.1,145.3,158.8,173.3,,
FC+FCT,0.72963,0.24930,144.7,151.5,157.8,140.8,155.0,170.3,160.9,174.8,189.5,,0.973
HS,0.85359,0.22229,104.7,111.1,117.1,102.7,115.8,130.0,120.3,133.4,147.3,,
KP,0.37720,0.69700,174.6,181.6,188.3,152.0,166.3,181.7,191.2,205.6,220.8,,
OL,0.81206,0.25477,119.0,125.5,131.7,114.6,128.1,142.7,134.9,148.2,162.4,0.961,
PC,0.01286,0.98423,195.5,202.7,209.5,166.2,180.8,196.5,212.4,227.1,242.7,,
PQ,0.78091,0.29464,126.6,133.2,139.4,119.6,133.2,147.9,142.6,156.1,170.5,0.962,
RN,0.82383,0.23499,116.0,122.5,128.6,113.1,126.5,141.0,131.8,145.1,159.2,0.962,
SC,0.81841,0.23836,117.7,124.3,130.4,114.6,128.1,142.7,133.6,146.9,161.1,0.963,
TI,0.08809,1.00000,186.7,193.8,200.6,158.7,173.2,188.7,203.5,218.0,233.5,,
UN,0.80081,0.27614,121.4,128.0,134.2,115.6,129.1,143.7,137.4,150.8,165.0,0.961,
WK,0.80881,0.24598,120.7,127.2,133.4,117.0,130.6,145.2,136.6,150.0,164.2,0.963,
BAM,0.55131,0.58664,156.3,163.2,169.7,137.5,151.5,166.5,172.7,186.8,201.7,,
DRV,0.79643,0.33228,119.0,125.5,131.6,110.0,123.2,137.6,134.8,148.2,162.4,,
FAR,0.84100,0.21889,110.2,116.6,122.7,108.5,121.9,136.3,125.9,139.1,153.1,0.960,
FUL,0.75063,0.25312,138.6,145.3,151.6,134.4,148.5,163.6,154.7,168.5,183.1,,
GIL,0.81194,0.28497,117.0,123.5,129.7,110.6,124.0,138.4,132.9,146.2,160.4,,
GUN,0.58386,0.39936,165.8,172.8,179.3,152.2,166.6,182.1,182.3,196.5,211.6,,
LIN,0.56985,0.45367,163.7,170.7,177.2,148.1,162.4,177.8,180.3,194.4,209.5,,
MIN,0.78168,0.27312,127.9,134.5,140.7,122.2,136.0,150.7,143.9,157.4,171.8,,
UMB,0.77965,0.24599,130.3,137.0,143.2,126.7,140.6,155.5,146.4,160.0,174.4,,
UNK,0.82259,0.26327,114.6,121.1,127.2,109.6,123.0,137.3,130.4,143.7,157.8,0.957,
WIL,0.79002,0.32141,121.8,128.4,134.5,113.3,126.7,141.2,137.7,151.1,165.4,0.956,
